isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500,abs_affected,abs_biodiversity,abs_climate,abs_conduct,abs_consumers,abs_governance,abs_oth,abs_ownworkforce,abs_pollution,abs_waste,abs_water,abs_workersvalchain,rel_affected,rel_biodiversity,rel_climate,rel_conduct,rel_consumers,rel_governance,rel_ownworkforce,rel_pollution,rel_waste,rel_water,rel_workersvalchain,imgsize_sum,boilergrams,imgsize_pages,imgsize_words500,imgsize_pages_words500,boiler_500,fog_avg,num_o_seit,num_o_seit_500
BE0003837540,920.0,739.0,461.0,63.0,388462.0,58551.0,2977.47,752.9100000000001,16499.0,2386.0,1890.0,121.0,30.960205569899333,281336.0,22796.0,41978.0,139.0,Atenor,Belgium,BDO,Home Builders,152846595.11,1.0,7.856398695154652,6.310737647520964,16.13977558026336,1.0332872196888183,0.2643866506968227,2463.0,1654.0,4081.0,356.0,1734.0,8011.0,1701.0,3645.0,593.0,2673.0,654.0,2009.0,0.08836508449036702,0.05934058049008001,0.14641409249094106,0.012772216840670182,0.062210741577871057,0.2874107559286765,0.13077171456247982,0.021275069063251176,0.09589925734581853,0.023463566892691853,0.0720769203171528,26.8684198712965,219.0,0.1932979846855863,0.229444585671436,0.0016506804724563,1.8701644719987705,21.420647482014388,1751.0,14.95277621219108
BE0974276082,591.0,605.0,378.0,74.0,247680.0,35238.0,1585.68,1004.64,10650.0,1572.1,1318.0,37.0,7.389686913804054,180136.0,13439.0,21271.0,89.0,Ontex,Belgium,PwC,Household & Personal Products,704268702.78,1.0,8.385833475225608,8.584482660763948,18.7014018956808,0.5250014189227539,0.1048539490578928,982.0,253.0,1363.0,426.0,2055.0,4251.0,676.0,3576.0,76.0,1620.0,325.0,3548.0,0.05315290933694181,0.013694181326116373,0.07377537212449256,0.023058186738836264,0.11123139377537213,0.23009472259810554,0.19355886332882274,0.004113667117726658,0.08768606224627876,0.017591339648173207,0.19204330175913398,7.389686913804054,224.0,0.0830301900427421,0.1048539490578928,0.0011781342590774,3.1783869686134287,17.816629213483147,1229.0,17.4385606447585
BE0974293251,205.0,243.0,311.0,78.0,138471.0,21207.0,682.01,445.51,4977.0,662.6,928.0,37.0,0.2358525824885263,74888.0,5365.0,6697.0,37.0,AB InBev,Belgium,PwC,Alcoholic Beverages,87578953700.0,5.0,4.833309756212572,5.729240345169048,21.87956806714764,0.872353468194464,0.0055607248193645,635.0,584.0,1290.0,208.0,672.0,2818.0,574.0,840.0,82.0,1193.0,299.0,1268.0,0.06421276165436343,0.05905551623015472,0.13044797249469106,0.02103347153402771,0.06795429264839721,0.28496309030235617,0.08494286581049651,0.008292041662453231,0.12063909394276469,0.03023561533016483,0.12822327839013045,0.2358525824885263,72.0,0.0063743941213115,0.0055607248193645,0.0001502898599828,1.6975526948649031,18.432702702702706,891.0,21.007214598953176
BE0974362940,445.0,412.0,248.0,46.0,244756.0,39428.0,1795.52,-1098.58,9298.0,846.1,1723.0,48.0,2.036491428840264,117392.0,4988.0,8294.0,58.0,Barco,Belgium,PwC,Hardware,961232820.2,1.0,5.643197727503297,5.224713401643503,21.84995434716445,0.6087044739778837,0.0258254467490142,715.0,581.0,2187.0,373.0,2210.0,4272.0,861.0,2463.0,72.0,2424.0,318.0,2113.0,0.04033167870036101,0.032773014440433214,0.12336416967509026,0.021040162454873647,0.12466155234657039,0.24097472924187727,0.138932761732852,0.004061371841155234,0.13673285198555957,0.017937725631768955,0.11918998194945848,0.0248924422349234,124.0,0.0004291800385331,0.0003156696032632,5.442579366607007e-06,1.5724865577761995,30.957241379310343,1665.0,21.114436441107845
BE0974464977,784.0,888.0,574.0,137.0,412105.0,61291.0,2407.3,1617.17,16372.0,2130.2,3209.0,119.0,0.0,261096.0,14577.0,31089.0,129.0,Syensqo,Belgium,EY,Chemicals,7556598368.9,3.0,6.395718784160807,7.24413045961071,26.17839487037249,0.9707787440244082,0.0,2037.0,1087.0,3656.0,718.0,2901.0,6175.0,1305.0,3797.0,715.0,3524.0,1064.0,4902.0,0.06662087912087912,0.03555075876504448,0.119570905285191,0.02348246991104134,0.09487833594976453,0.20195578231292516,0.12418236525379382,0.0233843537414966,0.1152537938252224,0.0347985347985348,0.16032182103610676,0.0,296.0,0.0,0.0,0.0,2.41471015320357,18.66124031007752,3080.0,25.12603808063174
BMG1738J1247,561.0,870.0,472.0,112.0,305188.0,41855.0,2881.79,-2281.52,13142.0,1848.9,1540.0,57.0,12.276950456096198,218592.0,2916.0,14472.0,108.0,BW Offshore,Bermuda,KPMG,Marine Transportation,475797548.83,1.0,6.701708278580815,10.393023533628002,18.396846254927727,0.6809222315135588,0.1466605000130952,899.0,775.0,1947.0,307.0,1188.0,8700.0,397.0,3993.0,785.0,1416.0,941.0,2739.0,0.03794850147741663,0.03271422541156606,0.08218657661460532,0.012959054453355847,0.05014774166314901,0.36724356268467706,0.16855213170113972,0.03313634444913466,0.05977205571971296,0.03972140143520473,0.115618404390038,8.252114570808073,259.0,0.0764084682482229,0.0985797941800032,0.000912775872037,3.0940150519651177,26.68324074074074,1432.0,17.10667781627046
CH0198251305,1127.0,951.0,776.0,191.0,617936.0,94180.0,2829.96,417.82,23608.0,2591.2,2717.0,38.0,2.0924038487694663,267168.0,5676.0,22968.0,132.0,Coca Cola HBC,Switzerland,PwC,Non-Alcoholic Beverages,12383259319.0,3.0,5.983223614355489,5.04884264174984,14.4245062645997,0.2017413463580377,0.0111085360414603,4561.0,1835.0,4779.0,223.0,5000.0,8603.0,1898.0,5274.0,527.0,6619.0,1191.0,6814.0,0.10040505437414697,0.040395368291286926,0.10520406815480121,0.004909082904063752,0.11006912340950116,0.18938493373838772,0.11610091137234183,0.011601285607361423,0.14570950556949763,0.026218465196143178,0.1500022013824682,2.0924038487694663,336.0,0.0158515443088595,0.0111085360414603,8.415557607166911e-05,1.7838182204289657,21.439090909090908,2585.0,13.723720535145466
CH0466642201,1311.0,1269.0,1075.0,201.0,666469.0,100142.0,3424.74,2316.7,26391.0,3367.5,4667.0,146.0,0.1913756152442233,374440.0,13320.0,47360.0,185.0,Helvetia,Switzerland,KPMG,Insurance,8709940255.8,3.0,6.545705098759761,6.336002875916199,23.30191128597392,0.7289648698847636,0.0009555212360659,3449.0,2794.0,6219.0,1156.0,6003.0,16071.0,1983.0,6794.0,227.0,2043.0,891.0,3181.0,0.07063570082739412,0.057221266486442206,0.1273654460555419,0.023674940607847954,0.12294175473089211,0.32913492258540183,0.13914147620217907,0.004648971901368068,0.04184074711231261,0.018247726714180387,0.06514704677643975,0.1913756152442233,214.0,0.0010344627851039,0.0009555212360659,5.1649796544102864e-06,1.0684827544886262,18.51210810810811,4482.0,22.378222923448703
CH1216478797,334.0,382.0,309.0,37.0,177214.0,27488.0,1922.02,-1622.44,6457.0,945.9,1309.0,32.0,2.438169667879774,113344.0,8344.0,11424.0,56.0,dsm-firmenich,Switzerland,KPMG,Chemicals,26836042914.0,4.0,6.075378346915017,6.948486612339931,23.81038998835856,0.5820721769499418,0.044349710198628,513.0,526.0,1374.0,203.0,532.0,3933.0,733.0,1357.0,276.0,717.0,511.0,2098.0,0.04260797342192691,0.04368770764119601,0.11411960132890366,0.01686046511627907,0.044186046511627906,0.32666112956810633,0.11270764119601329,0.02292358803986711,0.0595514950166113,0.04244186046511628,0.17425249169435217,0.9990812654733568,134.0,0.0178407368834528,0.0181730439732493,0.0003245186423794,2.437427240977881,34.32178571428572,1253.0,22.79176367869616
DE0005140008,1125.0,1429.0,1109.0,322.0,610421.0,90676.0,3073.27,2251.04,23652.0,2933.0,2952.0,20.0,5.31859892347342,321816.0,35298.0,60420.0,159.0,Deutsche Bank,Germany,EY,Investment Banking & Brokerage,33506207181.0,5.0,6.203405531783493,7.879703559927655,16.277736115399886,0.1102827650094843,0.0293274897628557,2156.0,1394.0,4743.0,1037.0,6637.0,17422.0,1330.0,9438.0,164.0,545.0,971.0,3259.0,0.04513670811874555,0.0291839383662019,0.099296570782565,0.021710002930955073,0.13894820583678769,0.36473642339739565,0.19758824268308,0.0034334045136708118,0.011409789389942637,0.020328266968136333,0.06822844701251937,5.31859892347342,58.0,0.0334503076948013,0.0293274897628557,0.00018444962115,0.3198200185275045,19.32874213836478,2793.0,15.400988133574485
DE0005190003,919.0,1048.0,919.0,225.0,672329.0,104002.0,3347.85,408.05000000000007,25248.0,2753.7,2220.0,59.0,1.1708829797072986,313720.0,14105.0,37975.0,155.0,BMW,Germany,PwC,Automobiles,46311539194.0,5.0,4.418184265687199,5.038364646833715,10.672871675544702,0.2836483913770889,0.005629136842115,1617.0,2060.0,8833.0,1018.0,3824.0,11025.0,2846.0,6610.0,526.0,4489.0,2339.0,8208.0,0.03198876337810837,0.04075253714217888,0.1747413400858573,0.020138875150843737,0.0756493699182971,0.2181052048507389,0.13076420898534097,0.010405744920769946,0.0888049219569131,0.04627193416289145,0.1623770994480603,1.1708829797072986,185.0,0.007554083740047,0.005629136842115,3.631701188461322e-05,0.8894059729620585,21.599032258064515,2065.0,9.927693698198112
DE0005220008,505.0,726.0,367.0,60.0,407663.0,64344.0,1726.55,2982.52,13771.0,1920.3,2759.0,55.0,0.0,234784.0,14964.0,28304.0,116.0,EnBW Energie Baden-Wuerttemberg,Germany,BDO,Electric Utilities & Power Generators,16823347437.0,4.0,3.924219818475693,5.641551659828423,21.439450453810768,0.427390277259729,0.0,1632.0,2071.0,4957.0,1103.0,2365.0,4667.0,1714.0,3264.0,864.0,2636.0,736.0,2549.0,0.06079570853822083,0.07714945611682313,0.18465951423036805,0.041089256444643125,0.08810162419907615,0.17385635523766949,0.12159141707644167,0.03218596334376397,0.098196990016391,0.027417672478021158,0.09495604231858143,0.0,284.0,0.0,0.0,0.0,2.2068879771229644,14.884051724137931,2643.0,20.53804550540843
DE0005439004,627.0,1067.0,758.0,153.0,498618.0,74785.0,2411.92,930.03,16677.0,2320.9,1836.0,246.0,0.0013103153300221,253000.0,12250.0,27750.0,125.0,Continental,Germany,PwC,Auto Parts,13420734269.0,4.0,4.1920171157317645,7.133783512736511,12.275188874774354,1.6447148492344723,8.760549107589089e-06,2257.0,1330.0,4569.0,614.0,2549.0,9699.0,1930.0,5505.0,659.0,3262.0,534.0,5610.0,0.061686891877118184,0.036350716081775446,0.12487700885536242,0.016781458401661748,0.06966765059582376,0.26508691374221055,0.15045916693998032,0.018011369848037608,0.0891549141795124,0.014594949163660217,0.15332896031485732,0.0013103153300221,312.0,1.04825226401768e-05,8.760549107589089e-06,7.008439286071271e-08,2.085979808785184,19.29536,1711.0,11.439459784716188
DE0005470405,734.0,975.0,738.0,225.0,485651.0,74277.0,3335.63,421.5,18381.0,2522.4,2201.0,41.0,0.0,279312.0,12006.0,30912.0,138.0,Lanxess,Germany,KPMG,Chemicals,2107714637.8,2.0,4.940964228496035,6.563269922048548,14.816161126593697,0.2759939146707594,0.0,1828.0,1515.0,3857.0,694.0,3107.0,10450.0,1563.0,4473.0,1269.0,4116.0,1286.0,2856.0,0.05156413077205156,0.042735042735042736,0.1087980592931088,0.019576316606019575,0.08764209754308765,0.29477306705029477,0.1261741558771262,0.0357958872810358,0.1161039180841161,0.03627542241403627,0.08056190234408056,0.0,343.0,0.0,0.0,0.0,2.308924700782207,24.17123188405797,2063.0,13.887205999165287
DE0005552004,430.0,438.0,372.0,91.0,241254.0,36266.0,1822.39,-589.0899999999999,8933.0,1024.7,1578.0,83.0,7.2449733944340435,135608.0,3752.0,8174.0,67.0,DHL,Germany,Deloitte,Air Freight & Logistics,40837357679.0,5.0,5.928417801797828,6.038713946947555,21.755914630783654,1.144322505928418,0.0998865796398009,618.0,386.0,2702.0,370.0,1022.0,5072.0,750.0,3048.0,93.0,407.0,220.0,3147.0,0.03617208077260755,0.022592917764120573,0.15815042434884402,0.021656423763535264,0.0598185542873866,0.2968685981855429,0.1784021071115013,0.005443371378402107,0.02382206613988879,0.012876792508047996,0.18419666374012292,7.2449733944340435,160.0,0.1081339312602096,0.0998865796398009,0.0014908444722358,2.2059229029945406,27.19985074626866,1511.0,20.832184415154693
DE0005557508,599.0,658.0,575.0,99.0,354563.0,52385.0,1552.18,1150.98,13409.0,1463.8,1188.0,28.0,0.0,172040.0,8075.0,15215.0,85.0,Deutsche Telekom,Germany,Deloitte,Telecommunication Services,146556784749.0,5.0,5.717285482485445,6.280423785434762,11.33912379497948,0.2672520759759473,0.0,1597.0,1116.0,2885.0,593.0,2089.0,6984.0,1146.0,3922.0,96.0,2134.0,316.0,3429.0,0.06347124518103414,0.04435435793489925,0.11466157942848058,0.02356822065895632,0.08302531695878543,0.27757243352807914,0.15587615754540757,0.0038154286395612256,0.08481379913357974,0.012559119271889034,0.13628234171932754,0.0,412.0,0.0,0.0,0.0,3.932423403646082,18.26094117647059,1103.0,10.527822850052496
DE0005785604,1077.0,1227.0,962.0,348.0,643596.0,98776.0,2513.08,3371.4,26665.0,2618.1,1715.0,66.0,3.179035312279189,311696.0,22792.0,46354.0,154.0,Fresenius,Germany,PwC,Health Care Delivery,19555940706.0,4.0,5.451729164979348,6.211022920547502,8.68125860532923,0.3340892524499879,0.0160921444089616,2547.0,1583.0,3245.0,908.0,6005.0,15967.0,2611.0,7792.0,618.0,3045.0,647.0,3875.0,0.05509171136874892,0.03424035300224952,0.07018947914864164,0.019640076137740093,0.12988838899463576,0.3453668454749957,0.168541270115937,0.013367364595950856,0.06586347118878699,0.01399463575012978,0.08381640422218377,3.179035312279189,241.0,0.0206430864433713,0.0160921444089616,0.000104494444214,1.219931967279501,16.3187012987013,1561.0,7.901717016279258
DE0005785802,822.0,829.0,622.0,394.0,408680.0,61070.0,2110.98,563.98,16456.0,1852.7,1930.0,113.0,2.60919373795854,208472.0,5047.0,15553.0,103.0,Fresenius Medical,Germany,PwC,Health Care Delivery,,,6.729981987882757,6.787293270018012,15.801539217291632,0.9251678401833962,0.0213623197802402,1567.0,772.0,2454.0,697.0,3246.0,8202.0,1398.0,4860.0,178.0,2718.0,607.0,4754.0,0.05213774746298453,0.025686241889868573,0.08165030776909,0.023190816835801032,0.10800199634004326,0.2728996839128265,0.16170354350357677,0.005922475461653635,0.09043420395940775,0.02019630677091998,0.158176676093828,1.532917068524954,216.0,0.0148826899856791,0.0125504918005972,0.0001218494349572,1.7684624201735712,20.49495145631068,1827.0,14.958244637301457
DE0005810055,390.0,267.0,317.0,70.0,242162.0,36643.0,1758.05,-509.49,9470.0,1172.0,785.0,84.0,0.4754999452396163,131560.0,5070.0,9230.0,65.0,Deutsche Börse,Germany,PwC,Security & Commodity Exchange,42311016854.0,5.0,5.321616679856999,3.643260650055945,10.71145921458396,1.1461943618153536,0.0064882780509185,560.0,510.0,1777.0,498.0,962.0,8368.0,904.0,2780.0,107.0,280.0,159.0,1360.0,0.03225620643972121,0.02937618800760325,0.1023558550774725,0.028684983583894937,0.05541155463394966,0.4819998847992627,0.1601290248257589,0.006163239444732446,0.016128103219860607,0.009158458614135131,0.07833650135360866,0.4754999452396163,74.0,0.0073153837729171,0.0064882780509185,9.981966232182372e-05,1.0097426520754305,27.04692307692308,720.0,9.824523101274458
DE0005909006,959.0,834.0,738.0,83.0,519805.0,79039.0,2802.93,5094.19,20828.0,3131.1,4958.0,10.0,4.065001326204984,400752.0,33066.0,72072.0,198.0,Bilfinger    ,Germany,PwC,Industrial Machinery & Goods,1796359722.2,2.0,6.066625336859019,5.275876466048406,31.36426321183213,0.063259909664849,0.0257151616683218,967.0,562.0,3088.0,1619.0,2820.0,13325.0,1672.0,6300.0,62.0,744.0,392.0,5075.0,0.027664931052240088,0.016078274303370145,0.08834468158150713,0.04631801796647022,0.08067746180694627,0.3812153115523259,0.1802368827601991,0.0017737597985924359,0.02128511758310923,0.011214739371745722,0.14519082222349375,4.065001326204984,310.0,0.0205303097283079,0.0257151616683218,0.0001298745538804,1.961057199610319,14.15621212121212,4760.0,30.11171700046812
DE0006062144,595.0,835.0,613.0,120.0,382165.0,57887.0,3512.51,-2440.29,13558.0,1864.9,1638.0,79.0,0.7539041386241868,224664.0,13320.0,25530.0,111.0,Covestro,Germany,KPMG,Chemicals,10972764857.0,3.0,5.139323164095566,7.212327465579491,14.148254357627792,0.6823639159051255,0.0065118605094769,1652.0,1401.0,4331.0,188.0,1751.0,6984.0,1200.0,3337.0,546.0,2917.0,582.0,3578.0,0.06058605640517842,0.051380789965892834,0.15883668903803133,0.006894781237393186,0.06421681886529504,0.2561337880955001,0.12238236696372905,0.020024205083067445,0.1069791322844464,0.02134448234129167,0.13122088972017457,0.7539041386241868,293.0,0.0067919291767944,0.0065118605094769,5.866540999528802e-05,2.530792751394959,31.64423423423424,1527.0,13.189489868191476
DE0006070006,1483.0,1244.0,614.0,158.0,676657.0,98660.0,4850.83,766.02,27544.0,4237.3,2340.0,387.0,10.157878282179912,475640.0,22090.0,77080.0,235.0,Hochtief,Germany,Deloitte,Engineering & Construction Services,10100947350.0,3.0,7.5157105209811474,6.304480032434624,11.858909385769309,1.9612811676464628,0.0514792128632673,3576.0,3929.0,7028.0,880.0,3355.0,10423.0,2293.0,7308.0,1323.0,6213.0,1900.0,4706.0,0.07061471929859205,0.07758535573942063,0.13878082976244546,0.017377223988467843,0.06625066645603366,0.20582137003613674,0.14430994648604886,0.026125076519026087,0.12268715072767125,0.037519006338737386,0.09292865464742008,5.239903709605198,249.0,0.0222974625940646,0.0265553603770788,0.0001130015335194,1.2619095884857086,20.64182978723404,2105.0,10.66795053719846
