isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500,abs_affected,abs_biodiversity,abs_climate,abs_conduct,abs_consumers,abs_governance,abs_oth,abs_ownworkforce,abs_pollution,abs_waste,abs_water,abs_workersvalchain,rel_affected,rel_biodiversity,rel_climate,rel_conduct,rel_consumers,rel_governance,rel_oth,rel_ownworkforce,rel_pollution,rel_waste,rel_water,rel_workersvalchain,abs_oenworkforce,rel_oenworkforce
BE0974293251,205.0,243.0,311.0,78.0,138471.0,21207.0,682.01,445.51,4977.0,662.6,928.0,37.0,0.2358525824885263,74888.0,5365.0,6697.0,37.0,AB InBev,Belgium,PwC,Alcoholic Beverages,87578953700.0,5.0,4.833309756212572,5.729240345169048,21.87956806714764,0.872353468194464,0.0055607248193645,635.0,584.0,1290.0,208.0,672.0,2818.0,574.0,840.0,82.0,1193.0,299.0,1268.0,0.0606900506546879,0.0558157316257287,0.1232915989677912,0.0198795756475198,0.0642263213227563,0.2693300200707254,0.054859982796521,0.0802829016534454,0.007837140399503,0.1140208353244767,0.0285768899933097,0.1211889515435343,0.0,0.0
BE0974362940,445.0,412.0,248.0,46.0,244756.0,39428.0,1795.52,-1098.58,9298.0,846.1,1723.0,48.0,2.036491428840264,117392.0,4988.0,8294.0,58.0,Barco,Belgium,PwC,Hardware,961232820.2,1.0,5.643197727503297,5.224713401643503,21.84995434716445,0.6087044739778837,0.0258254467490142,715.0,581.0,2187.0,373.0,2210.0,4272.0,861.0,2463.0,72.0,2424.0,318.0,2113.0,0.0384636075098176,0.0312550433051804,0.1176502232503093,0.0200656302114153,0.1188875141212545,0.229813330464253,0.0463177147775566,0.1324977137016515,0.003873258378611,0.1303996987465705,0.0171068911721986,0.1136693743611813,0.0,0.0
BE0974464977,784.0,888.0,574.0,137.0,412105.0,61291.0,2407.3,1617.17,16372.0,2130.2,3209.0,119.0,0.0,261096.0,14577.0,31089.0,129.0,Syensqo,Belgium,EY,Chemicals,7556598368.9,3.0,6.395718784160807,7.24413045961071,26.17839487037249,0.9707787440244082,0.0,2037.0,1087.0,3656.0,718.0,2901.0,6175.0,1305.0,3797.0,715.0,3524.0,1064.0,4902.0,0.0638938552743013,0.0340955427997867,0.1146764530598161,0.022521250901791,0.0909946363037545,0.1936890310843449,0.04093347134657,0.1190991499639283,0.0224271509676609,0.1105360559580941,0.0333741099714563,0.1537592923684953,0.0,0.0
BMG1738J1247,561.0,870.0,472.0,112.0,305188.0,41855.0,2881.79,-2281.52,13142.0,1848.9,1540.0,57.0,12.276950456096198,218592.0,2916.0,14472.0,108.0,BW Offshore,Bermuda,KPMG,Marine Transportation,475797548.83,1.0,6.701708278580815,10.393023533628002,18.396846254927727,0.6809222315135588,0.1466605000130952,899.0,775.0,1947.0,307.0,1188.0,8700.0,397.0,3993.0,785.0,1416.0,941.0,2739.0,0.0373230373230373,0.0321750321750321,0.0808319840577905,0.0127454643583675,0.0493212106115331,0.3611906837713289,0.0164819197077261,0.1657740689998754,0.0325901938805164,0.0587868974965749,0.0390667164860713,0.1137127911321459,0.0,0.0
CH0198251305,1127.0,951.0,776.0,191.0,617936.0,94180.0,2829.96,417.82,23608.0,2591.2,2717.0,38.0,2.0924038487694663,267168.0,5676.0,22968.0,132.0,Coca Cola HBC,Switzerland,PwC,Non-Alcoholic Beverages,12383259319.0,3.0,5.983223614355489,5.04884264174984,14.4245062645997,0.2017413463580377,0.0111085360414603,4561.0,1835.0,4779.0,223.0,5000.0,8603.0,1898.0,5274.0,527.0,6619.0,1191.0,6814.0,0.0963781590736201,0.0387752514580339,0.100984701208689,0.0047121967711943,0.1056546361254331,0.1817893669174203,0.0401064998732144,0.1114445101851069,0.0111359986476206,0.1398656073028484,0.0251669343250781,0.1439861381117403,0.0,0.0
CH0466642201,1311.0,1269.0,1075.0,201.0,666469.0,100142.0,3424.74,2316.7,26391.0,3367.5,4667.0,146.0,0.1913756152442233,374440.0,13320.0,47360.0,185.0,Helvetia,Switzerland,KPMG,Insurance,8709940255.8,3.0,6.545705098759761,6.336002875916199,23.30191128597392,0.7289648698847636,0.0009555212360659,3449.0,2794.0,6219.0,1156.0,6003.0,16071.0,1983.0,6794.0,227.0,2043.0,891.0,3181.0,0.0678790025781818,0.0549880931294404,0.1223947570407982,0.0227509791186947,0.1181437090393812,0.3162897797720966,0.0390269823463423,0.1337112042667926,0.0044675365570447,0.0402078290134026,0.0175355730058451,0.0626045541319793,0.0,0.0
CH1216478797,334.0,382.0,309.0,37.0,177214.0,27488.0,1922.02,-1622.44,6457.0,945.9,1309.0,32.0,2.438169667879774,113344.0,8344.0,11424.0,56.0,dsm-firmenich,Switzerland,KPMG,Chemicals,26836042914.0,4.0,6.075378346915017,6.948486612339931,23.81038998835856,0.5820721769499418,0.044349710198628,513.0,526.0,1374.0,203.0,532.0,3933.0,733.0,1357.0,276.0,717.0,511.0,2098.0,0.0401628434980036,0.0411806153605261,0.107570656854302,0.0158928990840053,0.0416503562201518,0.3079151334846943,0.0573866750176152,0.1062397244186956,0.0216080795427855,0.0561340327252798,0.0400062632114616,0.1642527205824786,0.0,0.0
DE0005140008,1125.0,1429.0,1109.0,322.0,610421.0,90676.0,3073.27,2251.04,23652.0,2933.0,2952.0,20.0,5.31859892347342,321816.0,35298.0,60420.0,159.0,Deutsche Bank,Germany,EY,Investment Banking & Brokerage,33506207181.0,5.0,6.203405531783493,7.879703559927655,16.277736115399886,0.1102827650094843,0.0293274897628557,2156.0,1394.0,4743.0,1037.0,6637.0,17422.0,1330.0,9438.0,164.0,545.0,971.0,3259.0,0.0439139644777578,0.028393351800554,0.0966066481994459,0.0211218836565096,0.1351841290532833,0.3548557927326055,0.0270897832817337,0.1922356200097767,0.0033403943294769,0.0111007006680788,0.0197775786214762,0.0663801531693009,0.0,0.0
DE0005190003,919.0,1048.0,919.0,225.0,672329.0,104002.0,3347.85,408.05000000000007,25248.0,2753.7,2220.0,59.0,1.1708829797072986,313720.0,14105.0,37975.0,155.0,BMW,Germany,PwC,Automobiles,46311539194.0,5.0,4.418184265687199,5.038364646833715,10.672871675544702,0.2836483913770889,0.005629136842115,1617.0,2060.0,8833.0,1018.0,3824.0,11025.0,2846.0,6610.0,526.0,4489.0,2339.0,8208.0,0.0302837344320629,0.0385803914224178,0.1654274744826294,0.0190654555670006,0.0716171926210319,0.2064800074913381,0.0533008708680588,0.1237943627680494,0.009851109654462,0.0840715422792396,0.0438055997752598,0.1537222586384493,0.0,0.0
DE0005220008,505.0,726.0,367.0,60.0,407663.0,64344.0,1726.55,2982.52,13771.0,1920.3,2759.0,55.0,0.0,234784.0,14964.0,28304.0,116.0,EnBW Energie Baden-Wuerttemberg,Germany,BDO,Electric Utilities & Power Generators,16823347437.0,4.0,3.924219818475693,5.641551659828423,21.439450453810768,0.427390277259729,0.0,1632.0,2071.0,4957.0,1103.0,2365.0,4667.0,1714.0,3264.0,864.0,2636.0,736.0,2549.0,0.0571468590237411,0.0725190839694656,0.1735765809930667,0.0386231528818544,0.0828139225435954,0.1634218082498774,0.0600182085580222,0.1142937180474823,0.030254219483157,0.0923033825898172,0.0257721128930597,0.0892569507668604,0.0,0.0
