isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year_x,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500,year_y,affected,biodiversity,climate,conduct,consumers,governance,oth,ownworkforce,pollution,waste,water,workersvalchain,total_weighted,affected_pct,biodiversity_pct,climate_pct,conduct_pct,consumers_pct,governance_pct,oth_pct,ownworkforce_pct,pollution_pct,waste_pct,water_pct,workersvalchain_pct
AT0000APOST4,709.0,678.0,535.0,81.0,427187.0,65686.0,2354.75,1437.53,15130.0,1987.6,3174.0,72.0,0.0014976088082482,234784.0,6032.0,19372.0,116.0,Austrian Post,Austria,BDO,Air Freight & Logistics,2013998136.7,2.0,5.39688822580154,5.1609170903997805,24.16039947629632,0.5480619919008616,1.1399756479677557e-05,2024.0,1368.132582306862,933.2970919311048,3454.4772606492043,2092.191552847624,4223.8424885571,19482.353796094656,0.0,0.0,0.0,0.0,0.0,0.0,31554.29477238655,0.0433580465726056,0.0295774980446668,0.1094772450332893,0.0663044941406365,0.1338595116457308,0.6174232045630708,0.0,0.0,0.0,0.0,0.0,0.0
AT000ADDIKO0,850.0,746.0,570.0,99.0,390058.0,65532.0,3829.09,-818.84,14729.0,2663.9,3766.0,239.0,5.683841243295636,281336.0,4587.0,23769.0,139.0,Addiko Bank,Austria,KPMG,Commercial Banks,393331173.15,1.0,6.48538118781664,5.691875724836721,28.734053592138192,1.82353659280962,0.0433669142044774,2024.0,3231.520404934883,558.4267426431179,2158.740690559149,2323.6632800102234,5885.700065374374,17411.150946468115,0.0,0.0,0.0,0.0,0.0,0.0,31569.202129989862,0.1023630686524392,0.0176889723200393,0.0683812242599696,0.0736053850978643,0.1864380367023315,0.5515233129673558,0.0,0.0,0.0,0.0,0.0,0.0
BE0003739530,525.0,775.0,358.0,134.0,300630.0,44755.0,1801.47,83.11000000000006,11978.0,1466.9,1384.0,114.0,5.0443265956971794,165968.0,4592.0,11234.0,82.0,UCB,Belgium,Forvis Mazars,Biotechnology & Pharmaceuticals,37811871127.0,5.0,5.865266450675902,8.658250474807284,15.46195955759133,1.27360071500391,0.056354894377133,2024.0,2796.2013884186745,1484.2305401563644,2160.364500582218,2597.131214559078,5219.591220408678,18509.4319306314,0.0,0.0,0.0,0.0,0.0,0.0,32766.950794756413,0.0853360267158621,0.0452965718248608,0.0659312034895823,0.0792606926053885,0.1592943833285809,0.5648811220357252,0.0,0.0,0.0,0.0,0.0,0.0
BE0003789063,502.0,655.0,372.0,39.0,221784.0,33556.0,1006.56,661.41,8297.0,910.8,1340.0,97.0,1.329238991290392,109296.0,2646.0,5508.0,54.0,Deceuninck,Belgium,PwC,Building Products & Furnishings,347305772.31,1.0,7.480033377041364,9.759804505900584,19.96662295863631,1.4453450947669568,0.0198062789261293,2024.0,1219.466526478529,452.6869457066059,2024.340247154236,945.3747620284556,1638.3264234364033,10323.387692272663,0.0,0.0,0.0,0.0,0.0,0.0,16603.582597076893,0.0734459878974083,0.0272644137528669,0.1219218945862097,0.0569379985615207,0.0986730673249299,0.6217566378770643,0.0,0.0,0.0,0.0,0.0,0.0
BE0003797140,3679.0,4966.0,3640.0,612.0,2210056.0,329538.0,11032.47,7398.19,79482.0,11378.5,14436.0,358.0,4.637382111109156,1242736.0,614.0,376996.0,614.0,GBL Groupe Bruxelles Lambert,Belgium,PwC,Asset Management & Custody Activities,8773068658.0,3.0,5.58205730446868,7.534791131826982,21.90339202155745,0.5431847010056503,0.0070361871940552,2024.0,7310.585652709007,5334.461288005114,14591.346521437168,2094.398870080709,11309.067587316036,43809.11519157887,0.0,0.0,0.0,0.0,0.0,0.0,84448.9751111269,0.0865680802293807,0.0631678629727058,0.1727829911758707,0.0248007612564235,0.1339159838521944,0.5187643205134248,0.0,0.0,0.0,0.0,0.0,0.0
BE0003837540,920.0,739.0,461.0,63.0,388462.0,58551.0,2977.47,752.9100000000001,16499.0,2386.0,1890.0,121.0,30.960205569899333,281336.0,22796.0,41978.0,139.0,Atenor,Belgium,BDO,Home Builders,152846595.11,1.0,7.856398695154652,6.310737647520964,16.13977558026336,1.0332872196888183,0.2643866506968227,2024.0,2840.781755298376,1747.9754032492638,4361.48872089386,1475.2001973688602,1884.2944910824297,14635.799672663212,0.0,0.0,0.0,0.0,0.0,0.0,26945.540240556,0.1054267878816802,0.0648706757275687,0.1618631017213505,0.0547474715369974,0.069929735097549,0.5431622280348539,0.0,0.0,0.0,0.0,0.0,0.0
BE0974276082,591.0,605.0,378.0,74.0,247680.0,35238.0,1585.68,1004.64,10650.0,1572.1,1318.0,37.0,7.389686913804054,180136.0,13439.0,21271.0,89.0,Ontex,Belgium,PwC,Household & Personal Products,704268702.78,1.0,8.385833475225608,8.584482660763948,18.7014018956808,0.5250014189227539,0.1048539490578928,2024.0,1505.2642915546894,449.11522632837296,1790.535618931055,1534.7904545664787,3267.717849880457,12753.381678432226,0.0,0.0,0.0,0.0,0.0,0.0,21300.80511969328,0.0706670139037619,0.0210844249221899,0.0840595277441249,0.0720531663447554,0.1534081848793286,0.598727682205839,0.0,0.0,0.0,0.0,0.0,0.0
BE0974293251,205.0,243.0,311.0,78.0,138471.0,21207.0,682.01,445.51,4977.0,662.6,928.0,37.0,0.2358525824885263,74888.0,5365.0,6697.0,37.0,AB InBev,Belgium,PwC,Alcoholic Beverages,87578953700.0,5.0,4.833309756212572,5.729240345169048,21.87956806714764,0.872353468194464,0.0055607248193645,2024.0,3104.8051632642746,1239.3489626049995,1704.832331418991,2412.0259150862694,2659.452494472265,12723.964665979149,0.0,0.0,0.0,0.0,0.0,0.0,23844.429532825947,0.1302109223871335,0.051976456844934,0.0714981387611725,0.1011567884971079,0.1115334921647453,0.5336242013449065,0.0,0.0,0.0,0.0,0.0,0.0
BE0974362940,445.0,412.0,248.0,46.0,244756.0,39428.0,1795.52,-1098.58,9298.0,846.1,1723.0,48.0,2.036491428840264,117392.0,4988.0,8294.0,58.0,Barco,Belgium,PwC,Hardware,961232820.2,1.0,5.643197727503297,5.224713401643503,21.84995434716445,0.6087044739778837,0.0258254467490142,2024.0,2177.0791751742363,1204.5564809143543,2580.496199458837,2008.5765206813808,4742.926582336426,12699.61921787262,0.0,0.0,0.0,0.0,0.0,0.0,25413.25417643785,0.0856670759305093,0.0473987499810697,0.1015413524589609,0.0790365730707424,0.1866320050713488,0.4997242434873687,0.0,0.0,0.0,0.0,0.0,0.0
BE0974464977,784.0,888.0,574.0,137.0,412105.0,61291.0,2407.3,1617.17,16372.0,2130.2,3209.0,119.0,0.0,261096.0,14577.0,31089.0,129.0,Syensqo,Belgium,EY,Chemicals,7556598368.9,3.0,6.395718784160807,7.24413045961071,26.17839487037249,0.9707787440244082,0.0,2024.0,2921.3599178493023,1977.2734472751613,4821.452510416508,2677.549824178219,4676.169291347265,18789.87186160684,0.0,0.0,0.0,0.0,0.0,0.0,35863.67685267329,0.0814573455435187,0.0551330376803731,0.1344383212636803,0.0746590996561088,0.1303873362052865,0.5239248596510325,0.0,0.0,0.0,0.0,0.0,0.0
BMG1738J1247,561.0,870.0,472.0,112.0,305188.0,41855.0,2881.79,-2281.52,13142.0,1848.9,1540.0,57.0,12.276950456096198,218592.0,2916.0,14472.0,108.0,BW Offshore,Bermuda,KPMG,Marine Transportation,475797548.83,1.0,6.701708278580815,10.393023533628002,18.396846254927727,0.6809222315135588,0.1466605000130952,2024.0,832.5321273207664,635.5820234417915,2418.403572678566,1075.5662655234337,1633.206397742033,15311.308164954184,0.0,0.0,0.0,0.0,0.0,0.0,21906.598551660776,0.0380037149700564,0.0290132683968688,0.1103961241164581,0.0490978215073874,0.0745531714515404,0.6989358995576886,0.0,0.0,0.0,0.0,0.0,0.0
CH0198251305,1127.0,951.0,776.0,191.0,617936.0,94180.0,2829.96,417.82,23608.0,2591.2,2717.0,38.0,2.0924038487694663,267168.0,5676.0,22968.0,132.0,Coca Cola HBC,Switzerland,PwC,Non-Alcoholic Beverages,12383259319.0,3.0,5.983223614355489,5.04884264174984,14.4245062645997,0.2017413463580377,0.0111085360414603,2024.0,6955.122705489397,1901.159829199314,5818.725522220135,2428.8542944192886,8132.855850934982,30384.79357647896,0.0,0.0,0.0,0.0,0.0,0.0,55621.51177874208,0.1250437552498809,0.0341802976654423,0.1046128617533187,0.0436675346776095,0.1462178137711688,0.5462777368825794,0.0,0.0,0.0,0.0,0.0,0.0
CH0466642201,1311.0,1269.0,1075.0,201.0,666469.0,100142.0,3424.74,2316.7,26391.0,3367.5,4667.0,146.0,0.1913756152442233,374440.0,13320.0,47360.0,185.0,Helvetia,Switzerland,KPMG,Insurance,8709940255.8,3.0,6.545705098759761,6.336002875916199,23.30191128597392,0.7289648698847636,0.0009555212360659,2024.0,3431.3440566062927,2168.6944748163223,5067.45030978322,2952.489560633898,5296.642597854137,30119.14945688844,0.0,0.0,0.0,0.0,0.0,0.0,49035.77045658231,0.0699763463417895,0.0442267849495002,0.1033419127016692,0.0602109344493346,0.108015894285661,0.6142281272720453,0.0,0.0,0.0,0.0,0.0,0.0
CH1216478797,334.0,382.0,309.0,37.0,177214.0,27488.0,1922.02,-1622.44,6457.0,945.9,1309.0,32.0,2.438169667879774,113344.0,8344.0,11424.0,56.0,dsm-firmenich,Switzerland,KPMG,Chemicals,26836042914.0,4.0,6.075378346915017,6.948486612339931,23.81038998835856,0.5820721769499418,0.044349710198628,2024.0,2037.5325523614883,1627.46987003088,3512.711058169604,1429.2444450259209,3833.269510298968,16715.99116164446,0.0,0.0,0.0,0.0,0.0,0.0,29156.21859753132,0.0698832924971281,0.0558189624140312,0.1204789656250906,0.0490202266883448,0.1314734795761043,0.5733250731993008,0.0,0.0,0.0,0.0,0.0,0.0
DE0005140008,1125.0,1429.0,1109.0,322.0,610421.0,90676.0,3073.27,2251.04,23652.0,2933.0,2952.0,20.0,5.31859892347342,321816.0,35298.0,60420.0,159.0,Deutsche Bank,Germany,EY,Investment Banking & Brokerage,33506207181.0,5.0,6.203405531783493,7.879703559927655,16.277736115399886,0.1102827650094843,0.0293274897628557,2024.0,7807.964953809977,1749.6947155296805,5431.818291455507,7836.0233681201935,11533.029298752546,71959.35843923688,0.0,0.0,0.0,0.0,0.0,0.0,106317.88906690478,0.0734398041791114,0.0164571995445528,0.0510903512017372,0.0737037147453996,0.1084768461824418,0.676832084146757,0.0,0.0,0.0,0.0,0.0,0.0
DE0005190003,919.0,1048.0,919.0,225.0,672329.0,104002.0,3347.85,408.05000000000007,25248.0,2753.7,2220.0,59.0,1.1708829797072986,313720.0,14105.0,37975.0,155.0,BMW,Germany,PwC,Automobiles,46311539194.0,5.0,4.418184265687199,5.038364646833715,10.672871675544702,0.2836483913770889,0.005629136842115,2024.0,6514.628263324499,2296.371290206909,9895.150704979897,2699.274547934532,6652.011354863644,28874.36442989111,0.0,0.0,0.0,0.0,0.0,0.0,56931.80059120059,0.11442863558985,0.0403354762428124,0.1738070920333634,0.0474124218785332,0.1168417525141789,0.5071746217412619,0.0,0.0,0.0,0.0,0.0,0.0
DE0005220008,505.0,726.0,367.0,60.0,407663.0,64344.0,1726.55,2982.52,13771.0,1920.3,2759.0,55.0,0.0,234784.0,14964.0,28304.0,116.0,EnBW Energie Baden-Wuerttemberg,Germany,BDO,Electric Utilities & Power Generators,16823347437.0,4.0,3.924219818475693,5.641551659828423,21.439450453810768,0.427390277259729,0.0,2024.0,2747.3139837682247,2575.178426682949,9310.78186661005,3121.037169277668,5774.9384642243385,17795.265824705362,0.0,0.0,0.0,0.0,0.0,0.0,41324.51573526859,0.0664814562224504,0.0623159976799232,0.2253089165341076,0.0755250754605698,0.1397460650529944,0.4306224890499542,0.0,0.0,0.0,0.0,0.0,0.0
