isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500
DE0005552004,430.0,438.0,372.0,91.0,241254.0,36266.0,1822.39,-589.0899999999999,8933.0,1024.7,1578.0,83.0,7.2449733944340435,135608.0,3752.0,8174.0,67.0,DHL,Germany,Deloitte,Air Freight & Logistics,40837357679.0,5.0,5.928417801797828,6.038713946947555,21.755914630783654,1.1443225059284179,0.09988657963980097
DE0005557508,599.0,658.0,575.0,99.0,354563.0,52385.0,1552.18,1150.98,13409.0,1463.8,1188.0,28.0,0.0,172040.0,8075.0,15215.0,85.0,Deutsche Telekom,Germany,Deloitte,Telecommunication Services,146556784749.0,5.0,5.717285482485445,6.280423785434762,11.339123794979479,0.2672520759759473,0.0
DE0005785604,1077.0,1227.0,962.0,348.0,643596.0,98776.0,2513.08,3371.4,26665.0,2618.1,1715.0,66.0,3.179035312279189,311696.0,22792.0,46354.0,154.0,Fresenius,Germany,PwC,Health Care Delivery,19555940706.0,4.0,5.451729164979348,6.211022920547502,8.68125860532923,0.3340892524499879,0.016092144408961635
DE0005785802,822.0,829.0,622.0,394.0,408680.0,61070.0,2110.98,563.98,16456.0,1852.7,1930.0,113.0,2.60919373795854,208472.0,5047.0,15553.0,103.0,Fresenius Medical,Germany,PwC,Health Care Delivery,,,6.729981987882757,6.787293270018012,15.801539217291632,0.9251678401833962,0.021362319780240214
DE0005810055,390.0,267.0,317.0,70.0,242162.0,36643.0,1758.05,-509.49,9470.0,1172.0,785.0,84.0,0.4754999452396163,131560.0,5070.0,9230.0,65.0,Deutsche Börse,Germany,PwC,Security & Commodity Exchange,42311016854.0,5.0,5.321616679856999,3.6432606500559452,10.711459214583959,1.1461943618153536,0.006488278050918542
DE0005909006,959.0,834.0,738.0,83.0,519805.0,79039.0,2802.93,5094.19,20828.0,3131.1,4958.0,10.0,4.065001326204984,400752.0,33066.0,72072.0,198.0,Bilfinger    ,Germany,PwC,Industrial Machinery & Goods,1796359722.2,2.0,6.066625336859019,5.275876466048406,31.36426321183213,0.063259909664849,0.025715161668321863
DE0006062144,595.0,835.0,613.0,120.0,382165.0,57887.0,3512.51,-2440.29,13558.0,1864.9,1638.0,79.0,0.7539041386241868,224664.0,13320.0,25530.0,111.0,Covestro,Germany,KPMG,Chemicals,10972764857.0,3.0,5.139323164095566,7.212327465579491,14.148254357627792,0.6823639159051255,0.0065118605094769706
DE0006070006,1483.0,1244.0,614.0,158.0,676657.0,98660.0,4850.83,766.02,27544.0,4237.3,2340.0,387.0,10.157878282179912,475640.0,22090.0,77080.0,235.0,Hochtief,Germany,Deloitte,Engineering & Construction Services,10100947350.0,3.0,7.5157105209811474,6.304480032434624,11.858909385769309,1.9612811676464628,0.05147921286326734
DE0006202005,533.0,621.0,518.0,50.0,403761.0,59523.0,2336.54,186.67,15413.0,1889.0,1410.0,53.0,0.0,208472.0,10609.0,21115.0,103.0,Salzgitter,Germany,EY,Iron & Steel Producers,886900179.69,1.0,4.477260890748114,5.216470944004838,11.844161080590695,0.44520605480234526,0.0
DE0006219934,426.0,507.0,509.0,71.0,302964.0,45972.0,2030.29,-435.5,11240.0,1093.4,1866.0,52.0,0.0,151800.0,2700.0,8250.0,75.0,Jungheinrich,Germany,PwC,Industrial Machinery & Goods,1275035136.0,1.0,4.633255024797703,5.51422605063952,20.294962150874444,0.5655616462194379,0.0
DE0006223407,779.0,584.0,532.0,110.0,376146.0,61957.0,2156.91,5046.7,12764.0,1999.4,12641.0,3.0,4.560152743568308,297528.0,16758.0,38220.0,147.0,ProCredit Holding,Germany,BDO,Commercial Banks,470701670.05,1.0,6.2866181383863005,4.712946075503979,102.01430024048938,0.024210339428958793,0.03680094858989547
DE0006599905,1293.0,1386.0,914.0,264.0,689361.0,104974.0,4093.33,783.76,26252.0,3287.7,1951.0,16.0,2.4542525582174304,390632.0,20072.0,57128.0,193.0,Merck,Germany,Deloitte,Biotechnology & Pharmaceuticals,62966480097.0,5.0,6.158667860613104,6.601634690494789,9.292777259130832,0.07620934707641892,0.011689811563898825
DE0006602006,940.0,1012.0,614.0,244.0,558326.0,88283.0,3753.6,1032.24,20844.0,2760.1,3864.0,82.0,1.521409410251606,348128.0,10492.0,39904.0,172.0,GEA,Germany,PwC,Industrial Machinery & Goods,8167307297.8,3.0,5.323788271807709,5.731567799010002,21.88416795985637,0.46441557264705546,0.008616661249909983
"DE0006969603,917,1138,613,220,459695,67957,3761.74,-885.6899999999999,18947,2433.3,2698,96,2.402852630349801,291456,7488.0,28080.0,144,Puma ,Germany,KPMG,""Apparel, Accessories & Footwear"",6834236114.5,3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0007030009,354.0,507.0,427.0,86.0,282762.0,43500.0,2267.71,-1995.76,10340.0,901.4,1137.0,53.0,0.1919867366291568,123464.0,5551.0,9211.0,61.0,Rheinmetall,Germany,Deloitte,Aerospace & Defence,27636312920.0,4.0,4.068965517241379,5.827586206896552,13.068965517241379,0.6091954022988506,0.0022067440991857105
